"subject_id","seed","log_mean_numerosity","appearance","first_estimate_log","second_estimate_log","geometric_mean_log","first_error_log","second_error_log","geom_mean_error_log","partner_between"
"85939",1,4.52178857704904,"diffPos_sameObj",4.49980967033027,4.65396035015752,4.57623598484305,0.0219789067187754,0.132171773108483,0.0544474077940107,4.38202663467388
"85939",2,5.00813216387814,"diffPos_diffObj",4.86753445045558,4.90527477843843,4.88636817820761,0.140597713422555,0.102857385439708,0.121763985670531,5.01063529409626
"85939",3,4.15300647487069,"samePos_sameObj",3.91202300542815,4.21950770517611,4.0628575183275,0.240983469442541,0.0665012303054198,0.0901489565431914,4.15888308335967
"85939",4,4.90527477843843,"samePos_diffObj",4.74493212836325,4.81218435537242,4.77843992903684,0.160342650075179,0.0930904230660126,0.126834849401592,4.85981240436167
"85939",5,4.52178857704904,"samePos_sameObj",4.60517018598809,4.61512051684126,4.61014266687044,0.0833816089390513,0.0933319397922192,0.0883540898214026,4.52178857704904
"85939",6,4.35188954025364,"samePos_sameObj",4.24849524204936,4.47733681447821,4.36141538418013,0.103394298204283,0.125447274224564,0.00952584392648514,3.93182563272433
"85939",7,4.90527477843843,"samePos_sameObj",4.55387689160054,4.70048036579242,4.62659798525916,0.351397886837889,0.204794412646013,0.278676793179266,4.70048036579242
"85939",8,4.79268655965915,"samePos_sameObj",4.70048036579242,4.78749174278205,4.7437865612125,0.0922061938667333,0.0051948168771041,0.0488999984466494,5.01063529409626
"85939",9,4.90527477843843,"samePos_sameObj",4.78749174278205,4.70953020131233,4.74835097177593,0.117783035656384,0.195744577126096,0.156923806662495,4.65396035015752
"85939",10,4.15300647487069,"diffPos_diffObj",3.91202300542815,4.36944785246702,4.1344141688841,0.240983469442541,0.216441377596334,0.0185923059865889,4.63472898822964
"85939",11,5.00813216387814,"diffPos_sameObj",4.90527477843843,4.60517018598809,4.7528544227384,0.102857385439708,0.402961977890046,0.255277741139734,5.01063529409626
"85939",12,4.79268655965915,"diffPos_diffObj",4.70953020131233,4.74493212836325,4.72719802438019,0.083156358346816,0.0477544312958997,0.0654885352789636,4.8283137373023
"85939",13,4.35188954025364,"diffPos_sameObj",4.31748811353631,4.11087386417331,4.21291455465398,0.0344014267173325,0.241015676080331,0.138974985599661,4.38202663467388
"85939",14,4.79268655965915,"samePos_diffObj",4.60517018598809,4.77068462446567,4.68719688079571,0.187516373671058,0.0220019351934848,0.105489678863435,4.60517018598809
"85939",15,4.15300647487069,"diffPos_sameObj",4.31748811353631,4.27666611901606,4.29702864016698,0.164481638665623,0.123659644145368,0.144022165296293,4.11087386417331
"85939",16,4.35188954025364,"samePos_diffObj",4.60517018598809,4.23410650459726,4.41574241088286,0.253280645734449,0.117783035656383,0.0638528706292147,4.59511985013459
"85939",17,4.15300647487069,"samePos_sameObj",3.91202300542815,4.15888308335967,4.0335649615432,0.240983469442541,0.0058766084889843,0.11944151332749,3.93182563272433
"85939",18,4.90527477843843,"samePos_sameObj",4.44265125649032,4.61512051684126,4.52806481435492,0.462623521948113,0.29015426159717,0.377209964083509,4.17438726989564
"85939",19,4.66931800581184,"samePos_sameObj",4.60517018598809,4.44265125649032,4.52318086230605,0.0641478198237513,0.226666749321526,0.146137143505789,4.84418708645859
"85939",20,4.35188954025364,"samePos_diffObj",4.58496747867057,4.44265125649032,4.51324844541967,0.23307793841693,0.0907617162366741,0.161358905166026,4.52178857704904
"85939",21,3.90449473900735,"samePos_sameObj",4.24849524204936,4.18965474202643,4.21897241485753,0.344000503042005,0.285160003019071,0.314477675850179,4.24849524204936
"85939",22,4.66931800581184,"diffPos_diffObj",4.78749174278205,4.70048036579242,4.7437865612125,0.118173736970203,0.0311623599805735,0.0744685554006574,4.60517018598809
"85939",23,4.52178857704904,"diffPos_diffObj",4.74493212836325,4.64439089914137,4.6943923562069,0.22314355131421,0.122602322092332,0.17260377915786,4.78749174278205
"85939",24,4.35188954025364,"diffPos_diffObj",4.65396035015752,4.56434819146784,4.60893648333371,0.30207080990388,0.212458651214193,0.257046943080068,4.54329478227
"85939",25,4.79268655965915,"samePos_diffObj",4.86753445045558,4.75359019110636,4.81022494469416,0.0748478907964323,0.0390963685527854,0.0175383850350128,4.76217393479776
"85939",26,5.00813216387814,"diffPos_sameObj",4.97673374242057,4.82028156560504,4.89788300345307,0.0313984214575633,0.1878505982731,0.110249160425068,4.9416424226093
"85939",27,4.79268655965915,"diffPos_diffObj",4.8283137373023,4.75359019110636,4.79080628091184,0.0356271776431516,0.0390963685527854,0.00188027874731045,4.78749174278205
"85939",28,4.15300647487069,"diffPos_sameObj",3.91202300542815,4.33073334028633,4.11605739240536,0.240983469442541,0.177726865415644,0.0369490824653278,4.60517018598809
"85939",29,3.90449473900735,"diffPos_sameObj",3.80666248977032,4.04305126783455,3.92307680341389,0.0978322492370349,0.138556528827196,0.0185820644065311,4.75359019110636
"85939",30,4.52178857704904,"samePos_diffObj",4.44265125649032,4.82028156560504,4.62761601195176,0.0791373205587238,0.298492988555997,0.105827434902722,4.93447393313069
"85939",31,3.90449473900735,"diffPos_sameObj",4.00733318523247,4.17438726989564,4.09000741254399,0.102838446225117,0.269892530888282,0.185512673536633,4.27666611901606
"85939",32,4.52178857704904,"samePos_sameObj",4.70048036579242,4.60517018598809,4.6525812234038,0.178691788743376,0.0833816089390513,0.130792646354763,4.71849887129509
"85939",33,4.90527477843843,"samePos_diffObj",4.90527477843843,4.80402104473326,4.85438392237547,0,0.101253733705173,0.0508908560629564,4.99043258677874
"85939",34,5.00813216387814,"diffPos_diffObj",4.97673374242057,4.91265488573605,4.9445905123387,0.0313984214575633,0.0954772781420852,0.0635416515394356,4.9272536851572
"85939",35,4.79268655965915,"diffPos_diffObj",4.74493212836325,4.83628190695148,4.79038927459094,0.0477544312958997,0.0435953472923281,0.00229728506820592,4.8283137373023
"85939",36,4.90527477843843,"samePos_diffObj",4.85203026391962,4.83628190695148,4.84414968569051,0.0532445145188127,0.0689928714869517,0.0611250927479219,5.01063529409626
"85939",37,4.66931800581184,"diffPos_sameObj",4.60517018598809,4.60517018598809,4.60517018598809,0.0641478198237513,0.0641478198237513,0.0641478198237513,4.49980967033027
"85939",38,4.79268655965915,"diffPos_sameObj",4.58496747867057,4.70953020131233,4.64683148100229,0.207719080988578,0.083156358346816,0.145855078656862,4.95582705760126
"85939",39,5.00813216387814,"diffPos_diffObj",4.77068462446567,4.85203026391962,4.81118552723998,0.237447539412472,0.156101899958521,0.196946636638162,4.85203026391962
"85939",40,4.52178857704904,"samePos_diffObj",4.55387689160054,4.69134788222914,4.62210133070906,0.0320883145515003,0.169559305180103,0.100312753660016,4.8283137373023
"85939",41,4.79268655965915,"samePos_sameObj",4.55387689160054,4.77068462446567,4.66102032482891,0.238809668058609,0.0220019351934848,0.13166623483024,4.90527477843843
"85939",42,4.52178857704904,"samePos_diffObj",4.60517018598809,4.45434729625351,4.52913097257557,0.0833816089390513,0.0674412807955331,0.00734239552652838,4.43081679884331
"85939",43,4.66931800581184,"diffPos_diffObj",4.74493212836325,4.66343909411207,4.70400913969324,0.0756141225514071,0.00587891169977617,0.0346911338813989,4.87519732320115
"85939",44,3.90449473900735,"samePos_diffObj",4.0943445622221,4.11087386417331,4.10260088867525,0.189849823214746,0.206379125165957,0.198106149667895,4.15888308335967
"85939",45,5.00813216387814,"diffPos_sameObj",4.78749174278205,4.88280192258637,4.83491198327566,0.220640421096092,0.125330241291767,0.173220180602481,4.88280192258637
"85939",46,4.52178857704904,"diffPos_diffObj",4.70048036579242,4.65396035015752,4.67716252113307,0.178691788743376,0.132171773108483,0.155373944084028,4.74493212836325
"85939",47,4.35188954025364,"samePos_sameObj",4.65396035015752,4.57471097850338,4.61416552665648,0.30207080990388,0.22282143824974,0.262275986402837,4.68213122712422
"85939",48,4.66931800581184,"samePos_diffObj",4.70953020131233,4.74493212836325,4.72719802438019,0.0402121955004908,0.0756141225514071,0.0578800185683432,4.74493212836325
